$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX	VEHS(50)	VEHDELAY(50)	STOPDELAY(50)	LOS(50)	LOSVAL(50)
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-385: Chisholm Dr@11.7	7	385	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-670: Ballarat Rd  Western Hwy@1.4	7	670	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-671: Panamax Rd@7.5	7	671	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	51-347: Panamax Rd@4.8-10: Ballarat Rd  Western Hwy@18.5	347	10	31	28	1	2	0	0.12	0.10	0.14	0.37		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51-347: Panamax Rd@4.8-385: Chisholm Dr@11.7	347	385	3	3	0	0	0	0.84	0.84				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51-347: Panamax Rd@4.8-670: Ballarat Rd  Western Hwy@1.4	347	670	47	39	1	5	2	3.30	2.67	6.84	6.34	6.29	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-10: Ballarat Rd  Western Hwy@18.5	360	10	528	505	1	18	4	0.12	0.12	0.00	0.23	0.09	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-385: Chisholm Dr@11.7	360	385	6	6	0	0	0	1.57	1.57				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-671: Panamax Rd@7.5	360	671	36	33	0	3	0	2.72	2.71		2.88		0.52	0.57		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51-673: Chisholm Dr@12.9-10: Ballarat Rd  Western Hwy@18.5	673	10	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
