$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-215: Caroline Springs Blvd@5.8	461	215	24	17	0	7	0	3.40	2.84		4.77		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-648: Christies Rd@37.8-114: Western Hwy@17.3	648	114	45	31	2	11	1	4.93	4.44	6.48	5.93	5.92	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-648: Christies Rd@37.8-209: Ballarat Rd  Western Hwy@28.7	648	209	106	100	1	5	0	9.18	9.04	16.20	10.52		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-648: Christies Rd@37.8-215: Caroline Springs Blvd@5.8	648	215	288	251	1	30	4	0.56	0.44	1.11	1.32	2.08	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-649@8.2-283: Christies Rd@7.9	649	283	122	103	0	16	3	1.36	1.16		2.44	2.65	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-651@22.8-215: Caroline Springs Blvd@5.8	651	215	205	191	1	9	4	2.86	2.74	6.78	4.35	4.48	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-652: Caroline Springs Blvd@21.4-114: Western Hwy@17.3	652	114	95	86	0	9	0	4.15	4.03		5.21		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-652: Caroline Springs Blvd@21.4-209: Ballarat Rd  Western Hwy@28.7	652	209	146	140	0	6	0	8.09	8.07		8.66		0.07	0.07		0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-652: Caroline Springs Blvd@21.4-283: Christies Rd@7.9	652	283	1115	1079	2	28	4	0.78	0.76	2.88	1.10	0.56	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50			3184	2975	8	176	21	1.60	1.53	6.13	2.52	2.12	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-10: Ballarat Rd  Western Hwy@18.5	7	10	2	2	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-385: Chisholm Dr@11.7	7	385	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-670: Ballarat Rd  Western Hwy@1.4	7	670	2	2	0	0	0	5.21	5.21				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-671: Panamax Rd@7.5	7	671	0	0	0	0	0											LOS_A		0.00	0.00
