$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	7200-10800	51-360: Ballarat Rd  Western Hwy@55.2-671: Panamax Rd@7.5	360	671	134	121	0	7	6	5.07	4.86		6.15	8.04	0.28	0.26		0.00	0.83	LOS_A	1	0.00	0.00
1	7200-10800	51-673: Chisholm Dr@12.9-10: Ballarat Rd  Western Hwy@18.5	673	10	80	78	0	1	1	0.31	0.31		0.10	0.00	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	51-673: Chisholm Dr@12.9-670: Ballarat Rd  Western Hwy@1.4	673	670	14	13	0	0	1	22.28	21.28			35.24	3.03	2.57			9.06	LOS_C	3	0.00	0.00
1	7200-10800	51-673: Chisholm Dr@12.9-671: Panamax Rd@7.5	673	671	5	5	0	0	0	42.06	42.06				14.83	14.83				LOS_E	5	0.00	0.00
1	7200-10800	51-885: Ballarat Rd  Western Hwy@6.9-10: Ballarat Rd  Western Hwy@18.5	885	10	0	0	0	0	0											LOS_A		76.45	172.86
1	7200-10800	51-885: Ballarat Rd  Western Hwy@6.9-385: Chisholm Dr@11.7	885	385	147	141	0	3	3	14.42	14.21		17.67	20.96	2.02	1.88		2.84	7.76	LOS_B	2	76.45	172.86
1	7200-10800	51-885: Ballarat Rd  Western Hwy@6.9-670: Ballarat Rd  Western Hwy@1.4	885	670	1896	1791	1	66	38	79.03	78.84	97.36	79.23	87.10	24.07	24.11	34.55	20.61	27.77	LOS_F	6	76.45	172.86
1	7200-10800	51-885: Ballarat Rd  Western Hwy@6.9-671: Panamax Rd@7.5	885	671	261	239	0	12	10	65.91	63.98		107.20	62.48	17.59	16.45		40.56	17.11	LOS_F	6	76.45	172.86
1	7200-10800	51			4310	4019	2	161	128	64.96	65.36	51.97	60.36	58.36	25.44	25.71	17.27	20.75	23.21	LOS_F	6	40.50	249.65
1	7200-10800	52-928: Melton Hwy@4.6-182@17.4	928	182	559	471	1	47	39	14.12	13.69	11.28	14.06	19.58	3.03	2.88	0.00	2.12	6.10	LOS_B	2	0.00	0.00
1	7200-10800	52-928: Melton Hwy@4.6-308: Ferris Rd  Melton Hwy@32.8	928	308	952	921	2	17	12	14.93	14.81	22.26	24.75	9.34	2.79	2.78	2.65	4.52	0.67	LOS_B	2	0.00	17.12
1	7200-10800	52-2259: Ferris Rd  Melton Hwy@16.4-182@17.4	2259	182	423	365	4	32	22	9.78	9.49	14.31	10.41	12.85	0.09	0.09	0.15	0.03	0.17	LOS_A	1	0.00	0.00
1	7200-10800	52-2259: Ferris Rd  Melton Hwy@16.4-200: Melton Hwy@86.6	2259	200	1645	1550	3	68	22	7.07	6.98	9.55	8.12	9.87	0.01	0.01	0.00	0.01	0.03	LOS_A	1	0.00	0.00
1	7200-10800	52-2260@38.7-200: Melton Hwy@86.6	2260	200	285	257	0	14	14	10.15	9.79		13.50	13.43	0.00	0.00		0.00	0.00	LOS_B	2	0.00	0.00
1	7200-10800	52-2260@38.7-308: Ferris Rd  Melton Hwy@32.8	2260	308	200	192	0	3	5	1.14	1.09		2.43	2.53	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	52			4064	3756	10	181	114	10.09	9.88	14.17	11.95	13.82	1.08	1.06	0.59	0.98	2.20	LOS_B	2	0.00	17.12
1	7200-10800	54-526: Ferris Rd@22.5-310@35.3	526	310	45	42	0	3	0	10.96	10.98		10.66		0.65	0.70		0.00		LOS_B	2	48.37	182.89
1	7200-10800	54-526: Ferris Rd@22.5-421: Ferris Rd@15.4	526	421	16	13	0	2	1	13.00	12.05		13.96	23.49	1.54	1.16		2.38	4.77	LOS_B	2	48.37	182.89
1	7200-10800	54-526: Ferris Rd@22.5-525: Ferris Rd@18.9	526	525	1489	1406	4	50	29	17.42	17.47	33.89	17.41	12.37	2.45	2.49	4.34	1.80	1.39	LOS_C	3	48.37	182.89
