$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
2	7200-10800	312-2527@16.1-2391@3.4	2527	2391	270	230	0	32	8	2.79	2.71		3.11	3.61	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	312-2527@16.1-24810@22.1	2527	24810	147	145	0	2	0	0.64	0.63		1.88		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	7200-10800	312			1578	1424	8	116	30	0.96	0.91	0.71	1.51	1.46	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	313-2394@59.8-2414@34.7	2394	2414	702	671	0	25	6	0.93	0.87		1.99	2.57	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	313-2394@59.8-2418@36.3	2394	2418	125	114	0	10	1	0.47	0.47		0.46	0.33	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	313-2401@29.1-2389@16.1	2401	2389	295	263	0	26	6	1.39	1.25		2.57	2.28	0.03	0.03		0.00	0.00	LOS_A	1	0.01	7.58
2	7200-10800	313-2401@29.1-2418@36.3	2401	2418	471	428	3	33	7	0.82	0.85	1.30	0.47	0.55	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	313-2416@14.9-2389@16.1	2416	2389	67	38	0	22	7	1.33	0.82		1.51	3.46	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	313-2416@14.9-2414@34.7	2416	2414	695	633	5	43	14	1.69	1.73	0.65	1.59	0.45	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	313			2355	2147	8	159	41	1.18	1.15	0.89	1.50	1.56	0.01	0.01	0.00	0.00	0.00	LOS_A	1	0.00	7.58
2	7200-10800	314-2403@220.3-2402@17.0	2403	2402	44	44	0	0	0	0.31	0.31				0.00	0.00				LOS_A	1	0.00	0.00
2	7200-10800	314-2403@220.3-2424@24.2	2403	2424	6	6	0	0	0	0.58	0.58				0.00	0.00				LOS_A	1	0.00	0.00
