$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX	VEHS(50)	VEHDELAY(50)	STOPDELAY(50)	LOS(50)	LOSVAL(50)
1	18000-21600	72-393: Christies Rd@348.6-280: Christies Rd@44.5	393	280	190	151	0	13	9	20.57	21.97		21.53	15.30	3.12	3.52		1.74	0.39	LOS_C	3	1.42	57.81	17	10.15	2.09	LOS_B	2
1	18000-21600	72-393: Christies Rd@348.6-394: Christies Rd@15.7	393	394	0	0	0	0	0											LOS_A		1.42	57.81	0			LOS_A	
1	18000-21600	72-393: Christies Rd@348.6-626: Palm Springs Rd@75.1	393	626	5	4	0	1	0	4.28	5.33		0.06		0.19	0.24		0.00		LOS_A	1	1.42	57.81	0			LOS_A	
1	18000-21600	72-625: Palm Springs Rd@88.9-280: Christies Rd@44.5	625	280	210	203	0	2	5	8.29	8.39		3.35	6.00	0.39	0.41		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	72-625: Palm Springs Rd@88.9-394: Christies Rd@15.7	625	394	26	26	0	0	0	9.65	9.65				0.52	0.52				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	72-625: Palm Springs Rd@88.9-626: Palm Springs Rd@75.1	625	626	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	72-1914@136.2-280: Christies Rd@44.5	1914	280	250	237	0	8	5	29.67	29.48		36.05	28.83	2.05	2.09		1.36	1.45	LOS_D	4	6.48	126.07	0			LOS_A	
1	18000-21600	72-1914@136.2-394: Christies Rd@15.7	1914	394	28	19	0	6	3	15.37	16.97		17.11	1.80	1.26	1.40		1.45	0.00	LOS_C	3	6.48	126.07	0			LOS_A	
1	18000-21600	72-1914@136.2-626: Palm Springs Rd@75.1	1914	626	37	34	0	3	0	18.44	18.12		22.16		1.31	1.24		2.20		LOS_C	3	6.48	126.07	0			LOS_A	
1	18000-21600	72			864	764	0	39	27	17.46	18.00		19.52	12.62	1.62	1.68		1.25	0.43	LOS_C	3	1.98	126.07	34	6.71	1.43	LOS_A	1
1	18000-21600	73-350: Delma Rd@97.2-464: Ballarat Rd  Western Hwy@8.8	350	464	71	71	0	0	0	0.08	0.08				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	73-663: Ballarat Rd  Western Hwy@46.8-351: Delma Rd@11.2	663	351	11	11	0	0	0	2.54	2.54				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	73-663: Ballarat Rd  Western Hwy@46.8-464: Ballarat Rd  Western Hwy@8.8	663	464	990	974	0	11	5	0.41	0.40		1.08	1.15	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	73			1072	1056	0	11	5	0.41	0.40		1.08	1.15	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	76-911@130.2-404: Hopkins Rd@29.7	911	404	9	9	0	0	0	0.08	0.08				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	76-911@130.2-408: Hopkins Rd@16.0	911	408	55	55	0	0	0	0.11	0.11				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	76-913: Hopkins Rd@4.0-408: Hopkins Rd@16.0	913	408	443	397	2	20	18	0.31	0.31	0.03	0.45	0.18	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	6	0.59	0.00	LOS_A	1
1	18000-21600	76-913: Hopkins Rd@4.0-912@27.4	913	912	6	5	0	0	1	5.58	5.27			7.14	0.00	0.00			0.00	LOS_A	1	0.00	0.00	0			LOS_A	
