$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-215: Caroline Springs Blvd@5.8	461	215	22	16	0	6	0	3.62	3.10		5.01		0.00	0.00		0.00		LOS_A	1	0.45	14.90
1	3600-7200	50-648: Christies Rd@37.8-114: Western Hwy@17.3	648	114	34	27	0	6	1	0.56	0.70		0.00	0.26	0.00	0.00		0.00	0.00	LOS_A	1	0.01	7.83
1	3600-7200	50-648: Christies Rd@37.8-209: Ballarat Rd  Western Hwy@28.7	648	209	112	103	1	8	0	9.26	9.04	14.14	11.48		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-648: Christies Rd@37.8-215: Caroline Springs Blvd@5.8	648	215	287	248	0	33	4	0.66	0.62		1.08	0.00	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-649@8.2-283: Christies Rd@7.9	649	283	134	110	1	17	6	2.20	1.92	4.53	3.09	4.54	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-651@22.8-215: Caroline Springs Blvd@5.8	651	215	267	249	0	13	5	2.76	2.66		3.98	4.73	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-652: Caroline Springs Blvd@21.4-114: Western Hwy@17.3	652	114	92	90	0	2	0	4.13	4.10		5.05		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-652: Caroline Springs Blvd@21.4-209: Ballarat Rd  Western Hwy@28.7	652	209	147	138	0	9	0	9.02	8.94		10.19		0.14	0.15		0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-652: Caroline Springs Blvd@21.4-283: Christies Rd@7.9	652	283	1111	1074	1	30	4	3.85	3.86	12.90	3.65	1.47	0.03	0.03	0.00	0.05	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50			3689	3463	7	187	28	2.51	2.49	6.20	2.81	2.42	0.01	0.02	0.00	0.01	0.00	LOS_A	1	0.05	14.90
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-10: Ballarat Rd  Western Hwy@18.5	7	10	2	2	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-385: Chisholm Dr@11.7	7	385	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-670: Ballarat Rd  Western Hwy@1.4	7	670	3	3	0	0	0	6.90	6.90				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-671: Panamax Rd@7.5	7	671	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	51-347: Panamax Rd@4.8-10: Ballarat Rd  Western Hwy@18.5	347	10	59	54	1	4	0	0.18	0.19	0.00	0.05		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00
1	3600-7200	51-347: Panamax Rd@4.8-385: Chisholm Dr@11.7	347	385	4	4	0	0	0	4.09	4.09				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-347: Panamax Rd@4.8-670: Ballarat Rd  Western Hwy@1.4	347	670	74	68	0	4	2	7.25	7.21		7.52	7.87	0.00	0.00		0.00	0.00	LOS_A	1	0.00	5.38
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-10: Ballarat Rd  Western Hwy@18.5	360	10	1176	1130	1	42	3	1.39	1.39	1.24	1.44	0.47	0.09	0.10	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-385: Chisholm Dr@11.7	360	385	7	7	0	0	0	6.92	6.92				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-671: Panamax Rd@7.5	360	671	117	111	1	5	0	6.43	6.24	9.74	10.11		1.27	1.26	0.00	1.73		LOS_A	1	0.00	0.00
1	3600-7200	51-673: Chisholm Dr@12.9-10: Ballarat Rd  Western Hwy@18.5	673	10	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	51-673: Chisholm Dr@12.9-670: Ballarat Rd  Western Hwy@1.4	673	670	5	5	0	0	0	5.40	5.40				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-673: Chisholm Dr@12.9-671: Panamax Rd@7.5	673	671	1	1	0	0	0	13.44	13.44				0.00	0.00				LOS_B	2	0.00	0.00
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-10: Ballarat Rd  Western Hwy@18.5	885	10	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-385: Chisholm Dr@11.7	885	385	2	2	0	0	0	2.13	2.13				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-670: Ballarat Rd  Western Hwy@1.4	885	670	431	369	2	51	9	0.52	0.53	0.51	0.43	0.79	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-671: Panamax Rd@7.5	885	671	120	119	0	1	0	5.83	5.83		5.19		0.12	0.12		0.00		LOS_A	1	0.00	0.00
1	3600-7200	51			2001	1875	5	107	14	1.99	2.02	2.40	1.57	1.73	0.14	0.14	0.00	0.08	0.00	LOS_A	1	0.00	5.38
1	3600-7200	52-928: Melton Hwy@4.6-182@17.4	928	182	578	541	0	34	1	5.37	5.36		5.29	5.77	0.19	0.20		0.13	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-928: Melton Hwy@4.6-308: Ferris Rd  Melton Hwy@32.8	928	308	357	338	0	15	4	1.34	1.34		1.34	1.44	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-2259: Ferris Rd  Melton Hwy@16.4-182@17.4	2259	182	589	545	0	35	9	9.67	9.55		10.48	14.15	0.12	0.13		0.09	0.08	LOS_A	1	0.00	0.00
1	3600-7200	52-2259: Ferris Rd  Melton Hwy@16.4-200: Melton Hwy@86.6	2259	200	834	805	1	22	5	8.04	8.00	13.32	9.22	7.56	0.03	0.03	0.00	0.03	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-2260@38.7-200: Melton Hwy@86.6	2260	200	193	192	0	0	1	8.22	8.18			14.30	0.00	0.00			0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-2260@38.7-308: Ferris Rd  Melton Hwy@32.8	2260	308	118	113	0	5	0	0.56	0.50		1.78		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	52			2669	2534	1	111	20	6.61	6.56	13.32	7.01	9.55	0.08	0.08	0.00	0.08	0.04	LOS_A	1	0.00	0.00
